600361.SH,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,temp1,temp2,,,,,,,,
资产负债表,,,,,,,,,,,,,,,
货币资金,4187186798,5066410388,5746321942,5867281784,5696882206,4347476615,4550565634,,,,,,,,
短期金融投资,0,0,0,0,0,0,0,,,,,,,,
应收票据,0,0,0,0,0,0,0,,,,,,,,
应收账款,17777857.62,17258273.92,36332877.03,21699757.74,37259548.46,22275175.33,19060846.36,,,,,,,,
预付账款,64413197.75,61439548.7,187810425.4,121030656.8,131821496.1,76647566.72,56196367.83,,,,,,,,
其他应收款,110955368.5,171134739.2,215933837.6,209602887.9,210648175.6,123315138.2,187364864.5,,,,,,,,
存货,1218316010,1542516579,1526320627,1506797879,1608773276,1252726809,1372273884,,,,,,,,
流动资产合计,6190865839,7481728817,8499883015,8565630777,8476583709,6457878510,6816750046,,,,,,,,
长期金融投资,50896551.3,42083815.81,42998637.5,0,0,0,0,,,,,,,,
长期股权投资,1173259474,695956105.7,656138929.3,586601267.2,546745187.9,1189281610,1134556362,,,,,,,,
投资性房地产,0,0,0,0,0,0,0,,,,,,,,
固定资产,622281677.6,687656811.3,624256239.8,616676861.4,764505351.5,604087372.4,689333368.5,,,,,,,,
在建工程,93856278.56,129622176.3,303709641.5,469483542.9,283345131.6,118400660.5,137269252.8,,,,,,,,
无形资产,68821057.11,75763792.33,86787105.1,92603828.13,8176014.05,66224212.64,73552316.56,,,,,,,,
开发支出,0,0,0,0,0,0,0,,,,,,,,
商誉,0,0,0,0,0,0,0,,,,,,,,
长期待摊费用,1265492345,1406950217,1364430598,1151346997,1188281761,1253725730,1433686665,,,,,,,,
递延所得税资产,136623307.6,127305873.6,27310783.66,17275679.44,29491910.6,136176043.2,127188582.1,,,,,,,,
非流动资产合计,3411230692,3495338792,3112907519,2943237526,2822545356,3417244570,3642685693,,,,,,,,
短期借款,543000000,520000000,620000000,670000000,1170000000,1063000000,520000000,,,,,,,,
短期金融负债,0,0,0,0,0,0,0,,,,,,,,
应付票据,68868778.55,69943435.05,57518139.7,30034505.74,56431478.3,307811.87,126799203.3,,,,,,,,
应付账款,2627908649,3069966298,3480741367,3385387851,3335680998,2784132090,2950653033,,,,,,,,
预收款项,461099305.3,452595942.1,409827394.8,584349689.9,682282847.2,567971922,443659357.9,,,,,,,,
应付职工薪酬,36608512.92,45626725.24,31916322.05,1203492.45,4168259.51,45770127.39,47359443.3,,,,,,,,
应交税费,13770761.01,10487614.96,19403748.91,25652933.59,20990302.18,14873896.22,12536074.72,,,,,,,,
其他应付款,616469263.9,649336187.9,912253421.8,889733944.7,605699383.8,526510553,573881766.9,,,,,,,,
一年内到期的非流动负债,0,499373796.6,9050280.97,1695965052,45000000,0,499772679.6,,,,,,,,
流动负债合计,6138391734,7582294923,7977106226,7846447600,6461020588,6385424786,7061497543,,,,,,,,
长期借款,49195917.31,53745398.63,0,0,0,48015929.36,52638105.21,,,,,,,,
应付债券,0,0,0,0,695512971.3,0,0,,,,,,,,
递延所得税负债,766718.24,1091353.2,2092124.66,2389147.35,2686170.01,697153.59,1091353.2,,,,,,,,
非流动负债合计,762369527.4,777209389.5,540443013.6,550871266.1,1787284458,758644585.7,773269271.9,,,,,,,,
股本,665807918,665807918,665807918,665807918,665807918,665807918,665807918,,,,,,,,
资本公积,1677671747,1677671747,1677671747,1676713310,1676713310,1677671747,1677671747,,,,,,,,
母公司股东的权益合计,2702082360,2615334666,3075840320,3091929065,3030537620,2733182037,2623460093,,,,,,,,
营业总收入,11759162596,12358210320,13429809357,13331704112,12747534796,3394806433,3514278593,利润表,,,,,,,
营业成本,9215631848,9623510462,10394732768,10394799506,10096813397,2690861165,2775962565,,,,,,,,
营业税金及附加,22835492.65,51237807.49,114064918.4,110289906,95780252.98,10704925.15,10683905.63,,,,,,,,
销售费用,2162624742,2461286808,2516294746,2390244718,2149515074,558336617.5,617563407.9,,,,,,,,
管理费用,272779073.2,300161352.3,334462711,306167314.3,279000835.7,78865157.73,84303608.32,,,,,,,,
财务费用,133931530,109167336.2,133381790.5,147547933.8,143398753,36298959.75,29706728.09,,,,,,,,
营业利润,312864925.3,-132367626.9,-28652693.81,19581457.1,12531197.91,35974663.56,8487085.48,,,,,,,,
利润总额,67506752.77,-353757983,57376666.8,127387543.5,35651822.05,34593107.71,5380290.64,,,,,,,,
净利润,75271729.26,-264193660.3,52068774.89,101797305.4,38944775.64,29380751.31,2206829.11,,,,,,,,
归属于母公司股东的净利润,78247451,-260437426.9,53129734.65,102463333,40559080.03,30761988.3,3226628.15,,,,,,,,
利息支出,155546906.4,168551411.6,218163706.5,221625053.1,209764815.2,52441203.79,38886726.59,财务费用明细：,,,,,,,
利息收入,54391436.5,86406291.11,117138185.9,94815529.63,89297622.94,22324405.74,13597859.13,,,,,,,,
当期股东资产折旧,0,0,0,0,0,0,0,利息费用,0,0,0,0,0,0,0
当期无形资产摊销,11008334.1,10154394.6,8998240.98,2339857.42,170665.63,42666.4075,2752083.525,其他财务费用,0,0,0,0,0,0,0
当期长期待摊费用摊销,121899023.3,137300104.7,134013031.6,114963806.4,102190672.1,25547668.03,30474755.83,折旧和摊销,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
折旧和摊销费用合计,0,0,0,0,0,0,0,,,,,,,,
